"","GSM333436","GSM333437","GSM333438","GSM333439","GSM333440","GSM333441","GSM333442","GSM333443","GSM333444","GSM333445","GSM333446","GSM333447","GSM333448","GSM333449","GSM333450","GSM333451","GSM333452","GSM333453","GSM333454","GSM333455","GSM333456"
"TAPBPL",5.643602,5.7755604,5.8639526,5.3923635,6.711409,5.2690396,5.8990474,6.304165,6.0863633,5.0648017,6.5495043,5.289222,6.4246383,6.175876,5.9333363,6.408196,5.736135,5.8236446,6.0010734,5.4215484,6.1891766
"SLC8B1",6.0884743,6.018231,5.707897,6.10027,6.09576,5.239603,6.3070807,5.998964,4.956446,5.3389754,6.440594,5.859472,5.798187,5.9975615,6.4056306,5.860847,5.928025,5.634567,5.7750225,4.2410793,5.144156
"TAF1D",6.9684963,7.032643,5.8975873,7.19962,7.661807,6.9416566,6.2925553,6.78629,6.415514,5.5969906,7.609695,7.1981254,6.7225204,6.15704,6.5345807,5.550689,6.1355987,5.8761287,6.2191987,5.5137734,6.045804
"ZMAT5",6.7461777,5.7940006,5.8161573,5.937197,4.774977,6.1438985,6.788096,6.143891,6.0156326,5.7639465,6.3788676,5.339345,5.7031555,5.671398,6.7092,6.3594656,5.289125,6.8272924,6.05612,4.8284297,5.856998
"XKR8",6.1842217,6.5260434,6.776917,6.838175,7.474398,5.988473,7.884537,7.8325696,6.918136,7.0795064,7.3396277,6.927129,6.6556582,6.9653006,6.746792,6.6317225,7.401469,7.6821375,7.229982,6.984661,6.8581953
"NOL9",9.017157,8.115543,8.345931,8.853168,9.181784,8.583246,8.507501,8.484711,8.161465,8.228418,8.612077,8.758652,8.284599,8.036522,8.180899,8.093536,8.510645,8.35043,8.321686,7.800463,7.9642997
"DHRS11",6.7474966,6.370742,6.00112,7.030186,6.329182,6.6257563,6.6050534,6.4315023,6.272961,6.654272,6.952744,5.9399376,6.4135137,5.8188515,6.748452,6.2904596,6.187651,6.6692376,5.977377,5.138739,6.1081824
"UPF3B",7.7748322,7.890297,7.2263,8.224899,7.5743775,7.121223,7.3155336,7.378486,7.0430746,6.916855,8.546515,7.3761334,8.202535,6.5318885,7.311125,6.4232464,7.510527,6.9434633,6.656579,6.890308,6.28211
"RRP1",7.3335867,6.7734714,6.986209,7.1172495,8.086103,6.769521,7.078487,6.7369018,6.0970306,6.6168084,7.289644,6.993609,6.6239557,6.6074033,7.0159483,6.3391476,3.799359,6.604994,6.497358,6.362471,6.6617475
"COQ6",6.08403,7.3211565,6.184856,6.5599413,6.911654,6.9407687,6.5010743,6.560195,5.9272532,6.3323746,6.812195,6.259852,6.913813,7.340288,7.277586,7.482607,7.3136168,6.96008,7.1190586,6.7873716,6.837462
